"co_pcdt","sg_procedimentoa","sg_procedimentob","qt_cns_paciente","sg_procedimentob2"
35,METO252,ADAL40,3,ADAL40
35,METO252,AZAT50,1,AZAT50
35,METO252,ETAN50,2,ETAN50
35,METO252,GOLI50,1,GOLI50
35,METO252,INFL1010,4,INFL1010
35,METO252,METO25,1,METO25
35,METO252,NAPR250,1,NAPR250
35,METO252,SULF500,3,SULF500
35,NAPR250,ADAL40,1,ADAL40
35,NAPR250,CERT200,1,CERT200
35,NAPR250,ETAN50,1,ETAN50
35,NAPR250,SULF500,4,SULF500
35,NAPR500,ADAL40,3,ADAL40
35,NAPR500,CERT200,1,CERT200
35,NAPR500,CODE60,1,CODE60
35,NAPR500,ETAN50,1,ETAN50
35,NAPR500,QUET100,1,QUET100
35,NAPR500,SULF500,34,SULF500
36,OLAN10,OLAN5,72668,OLAN5
36,OLAN5,OLAN10,24927,OLAN10
36,QUET100,QUET200,25443,QUET200
36,QUET100,QUET25,9472,QUET25
36,QUET200,QUET100,12060,QUET100
36,QUET25,QUET100,13563,QUET100
36,RISP1,RISP2,19759,RISP2
36,RISP2,OLAN10,12613,OLAN10
36,RISP2,RISP1,18297,RISP1
36,ZIPR40,ZIPR80,6965,ZIPR80
37,COMP1,ALEN10,10,ALEN10
37,COMP1,ALFA4000,1,ALFA4000
37,COMP1,BEZA200,1,BEZA200
37,COMP1,CABE05,3,CABE05
37,COMP1,CICLOSP100,1,CICLOSP100
37,COMP1,CIPR100,1,CIPR100
37,COMP1,CLOZ100,1,CLOZ100
37,COMP1,FORM1240060,3,FORM1240060
37,COMP1,FORM6200,1,FORM6200
37,COMP1,GABA300,1,GABA300
37,COMP1,GOSS1080,1,GOSS1080
37,COMP1,ISOT10,2,ISOT10
37,COMP1,ISOT20,6,ISOT20
37,COMP1,LAMO100,3,LAMO100
37,COMP1,LEFL20,1,LEFL20
37,COMP1,LEUP1125,1,LEUP1125
37,COMP1,LEUP375,3,LEUP375
37,COMP1,LEVO20050,1,LEVO20050
37,COMP1,LEVO25025,2,LEVO25025
37,COMP1,MESA1000,1,MESA1000
37,COMP1,MICO180,1,MICO180
37,COMP1,OLAN10,6,OLAN10
37,COMP1,OLAN5,3,OLAN5
37,COMP1,QUET200,3,QUET200
37,COMP1,QUET25,2,QUET25
37,COMP1,RISP1,3,RISP1
37,COMP1,RISP2,8,RISP2
37,COMP1,RIVA15,1,RIVA15
37,COMP1,SALB100200,1,SALB100200
37,COMP1,SILD20,1,SILD20
37,COMP1,SOMA12,1,SOMA12
37,COMP1,TOPI100,2,TOPI100
37,COMP1,TOPI25,1,TOPI25
37,COMP1,TOPI50,1,TOPI50
37,COMP1,TOXI100,1,TOXI100
37,COMP1,TOXI500,1,TOXI500
37,COMP1,VIGA500,3,VIGA500
37,OLAN10,OLAN5,1,OLAN5
37,RISP1,COMP1,3,COMP1
37,SINV20,SINV40,1,SINV40
38,ALFA25,PANC10000,1255,PANC10000
38,ALFA25,PANC12000,255,PANC12000
38,ALFA25,PANC25000,1422,PANC25000
38,PANC10000,ALFA25,1066,ALFA25
38,PANC10000,PANC25000,914,PANC25000
38,PANC12000,ALFA25,396,ALFA25
38,PANC12000,PANC10000,239,PANC10000
38,PANC18000,ALFA25,187,ALFA25
38,PANC25000,ALFA25,490,ALFA25
38,PANC25000,PANC10000,369,PANC10000
40,ALFA210000000,ALFA10000,1,ALFA10000
40,ALFA210000000,ALFA23000000,1,ALFA23000000
40,ALFA210000000,ATOR20,1,ATOR20
40,ALFA210000000,CICLOSP10050,1,CICLOSP10050
40,ALFA210000000,DEFE500,1,DEFE500
40,ALFA210000000,FILG300,1,FILG300
40,ALFA210000000,MORF30,1,MORF30
40,ALFA210000000,RIBA250,1,RIBA250
40,ALFA210000000,SEVE800,1,SEVE800
40,ALFA23000000,ACIT10,1,ACIT10
40,ALFA23000000,ACIT25,2,ACIT25
40,ALFA23000000,ALFA25000000,2,ALFA25000000
40,ALFA23000000,CICLOFO50,1,CICLOFO50
40,ALFA23000000,CODE30,1,CODE30
40,ALFA23000000,DEFE250,1,DEFE250
40,ALFA23000000,ETAN25,1,ETAN25
40,ALFA23000000,FILG300,1,FILG300
40,ALFA23000000,FORM12400,1,FORM12400
40,ALFA23000000,GABA400,1,GABA400
40,ALFA23000000,HIDR500,1,HIDR500
40,ALFA23000000,MESA500,1,MESA500
40,ALFA23000000,MICO360,1,MICO360
40,ALFA23000000,MORF1060,1,MORF1060
40,ALFA23000000,MORF30,1,MORF30
40,ALFA23000000,OCTR20,3,OCTR20
40,ALFA23000000,PANC25000,1,PANC25000
40,ALFA23000000,RIBA250,2,RIBA250
40,ALFA23000000,TENO300,1,TENO300
40,ALFA25000000,ALFA23000000,3,ALFA23000000
