"co_pcdt","co_uf_ibge_estabelecimento","nu_ano_competencia","qt_cnes_estabelecimento"
7,22,2008,1
7,22,2009,1
7,22,2010,1
7,22,2011,1
7,22,2013,1
7,22,2014,1
7,22,2015,1
7,22,2016,1
7,22,2017,1
7,23,2008,6
7,23,2009,7
7,23,2010,9
7,23,2011,5
7,23,2012,5
7,23,2013,3
7,23,2014,1
7,23,2015,1
7,23,2016,1
7,23,2017,1
7,23,2018,1
7,23,2019,1
7,24,2008,1
7,24,2009,1
7,24,2010,1
7,24,2011,1
7,24,2012,1
7,24,2013,1
7,24,2014,1
7,24,2017,1
7,24,2018,2
7,24,2019,2
7,25,2008,1
7,25,2009,1
7,25,2010,2
7,25,2011,2
7,25,2012,2
7,25,2013,2
7,25,2014,2
7,25,2015,2
7,25,2016,2
7,25,2017,2
7,25,2018,2
7,25,2019,1
7,26,2008,1
7,26,2009,1
7,26,2010,2
7,26,2011,2
7,26,2012,1
7,26,2013,1
7,26,2014,1
7,26,2015,1
7,26,2016,1
7,26,2017,1
7,26,2018,1
7,26,2019,1
7,27,2009,1
7,27,2010,1
7,27,2011,1
7,27,2012,1
7,27,2015,1
7,27,2016,1
7,27,2018,1
7,27,2019,1
7,28,2008,1
7,28,2009,1
7,28,2010,1
7,28,2011,1
7,28,2012,1
7,28,2013,1
7,28,2014,1
7,28,2015,1
7,28,2016,1
7,28,2017,1
7,28,2018,1
7,28,2019,1
7,29,2008,1
7,29,2009,1
7,29,2017,1
7,29,2018,1
7,29,2019,2
7,31,2008,13
7,31,2009,13
7,31,2010,12
7,31,2011,10
7,31,2012,10
7,31,2013,11
7,31,2014,11
7,31,2015,10
7,31,2016,10
7,31,2017,10
7,31,2018,8
7,31,2019,9
7,32,2008,5
7,32,2009,4
7,32,2010,2
7,32,2011,2
7,32,2012,2
7,32,2013,1
7,32,2019,1
7,33,2008,1
7,33,2009,1
7,33,2010,1
7,33,2011,1
7,33,2012,1
7,33,2013,1
7,33,2014,1
7,33,2015,1
7,33,2016,1
7,33,2017,1
7,33,2018,1
7,35,2008,32
7,35,2009,35
7,35,2010,34
7,35,2011,29
7,35,2012,27
7,35,2013,24
7,35,2014,25
7,35,2015,22
7,35,2016,24
7,35,2017,22
7,35,2018,21
7,35,2019,18
7,41,2008,8
7,41,2009,7
7,41,2010,9
7,41,2011,6
7,41,2012,5
7,41,2013,5
7,41,2014,5
7,41,2015,6
7,41,2016,9
7,41,2017,9
7,41,2018,9
7,41,2019,8
7,42,2008,1
7,42,2009,1
7,42,2010,1
7,42,2011,1
7,42,2012,1
7,42,2013,1
7,42,2014,1
7,42,2015,1
7,42,2016,1
7,42,2017,1
7,42,2018,1
7,42,2019,1
7,43,2008,18
7,43,2009,17
7,43,2010,17
7,43,2011,15
7,43,2012,7
7,43,2013,5
7,43,2014,7
7,43,2015,9
7,43,2016,6
7,43,2017,4
7,43,2018,5
7,43,2019,5
7,50,2008,1
7,50,2009,1
7,50,2010,1
7,50,2011,1
7,50,2012,1
7,50,2013,1
7,50,2016,1
7,50,2017,1
7,50,2019,1
7,51,2008,1
7,51,2009,1
