co_pcdt,co_cnes_estabelecimento,qt_dispensacao,qt_cns_paciente,nu_competencia_min,nu_competencia_max
3,6552315,4,1,201810,201905
3,6557961,12,6,201009,201609
3,6565271,33,4,201011,201906
3,6578640,5,2,201704,201808
3,6582559,7,1,201807,201904
3,6670725,2,1,201904,201905
3,6911927,37,2,201705,201906
3,6926967,84,5,201308,201905
3,7043260,9,1,201706,201802
3,7311745,50,11,201310,201709
3,7661568,64,5,201503,201906
3,8003041,3,1,201105,201107
3,8006431,3,1,200807,200809
3,9734872,1,1,201905,201905
4,3441,2,2,201806,201806
4,7609,99,54,201602,201805
4,21806,34,17,200802,201902
4,2016338,82,52,200803,201901
4,2020645,4,2,201001,201104
4,2043955,14,4,201409,201812
4,2044412,3,2,201405,201411
4,2051753,89,23,200901,201906
4,2054434,21,5,200909,201808
4,2058502,5,3,200801,200807
4,2068974,4,2,200801,200806
4,2071339,76,20,200806,201906
4,2076802,14,5,201001,201810
4,2078015,8,5,200807,200904
4,2081695,1,1,200803,200803
4,2088576,1,1,200812,200812
4,2088940,582,150,200803,201906
4,2091461,16,7,200801,200903
4,2091542,9,3,200801,200905
4,2092360,63,17,200802,201905
4,2092603,66,7,200812,201906
4,2092751,3,1,200804,200804
4,2092999,148,17,200802,201904
4,2179067,1,1,201009,201009
4,2179113,10,1,201707,201711
4,2194406,1,1,200906,200906
4,2198290,12,1,201510,201706
4,2244055,20,1,201309,201509
4,2246597,6,1,201310,201401
4,2249456,2,1,201805,201807
4,2257343,5,1,201710,201802
4,2336766,78,24,200805,201906
4,2407418,366,28,200801,201906
4,2466120,8,3,201105,201303
4,2493845,946,255,200801,201509
4,2494892,20,15,200804,201805
4,2497654,30,26,200804,201303
4,2499363,2,2,201106,201202
4,2526867,614,144,201304,201906
4,2531496,140,64,200802,201905
4,2532174,1,1,200808,200808
4,2561492,6,2,200802,201002
4,2563681,29,13,200804,201209
4,2569043,4,3,200901,201707
4,2571536,1,1,201509,201509
4,2576546,2,1,201904,201906
4,2583879,6,3,201611,201901
4,2589885,9,6,200806,201806
4,2590441,2,2,201008,201507
4,2649349,1,1,201609,201609
4,2686864,15,4,201608,201807
4,2719991,333,160,200801,201906
4,2747863,20,6,201109,201906
4,2749769,180,28,200801,201904
4,2752697,18,17,200908,201307
4,2767449,5,1,201003,201007
4,2767465,8,1,201808,201903
4,2767481,42,3,201608,201905
4,2768275,13,3,201511,201904
4,2768399,42,6,201507,201904
4,2768402,6,5,201410,201709
4,2768410,37,7,200906,201906
4,2768429,1,1,201506,201506
4,2768445,1,1,201112,201112
4,2768461,3,1,201809,201812
4,2768488,1,1,201212,201212
4,2768518,48,3,200911,201612
4,2774526,11,2,201703,201903
4,2774593,2,1,201805,201806
4,2774909,1,1,201710,201710
4,2777606,10,8,201602,201906
4,2783746,8,4,201608,201903
4,2784432,92,34,200801,201906
4,2785250,2,2,200910,200912
4,2786214,1,1,201812,201812
4,2792354,7,5,200905,201509
4,2792907,28,4,201301,201906
4,2794179,7,5,201807,201906
4,2794187,10,3,201101,201410
4,2816741,44,8,201410,201906
4,2818256,2,2,201705,201807
4,3339637,11,1,201501,201609
4,3469972,2,1,200810,200902
4,3503038,26,6,200802,201608
4,3542734,4,4,201109,201708
4,3554481,182,75,200910,201906
4,3554503,37,10,201106,201812
4,3554538,119,29,201006,201906
4,3586677,36,1,200801,201005
4,3653404,19,8,200905,201906
4,3781658,66,16,200801,201904
4,3846393,194,12,200801,201905
4,3890538,132,16,200803,201906
4,3933822,5,2,201312,201903
4,4013581,45,22,200809,201906
4,4016017,121,55,200801,201905
4,4046374,177,97,200806,201904
4,4054016,5,4,201208,201608
4,4056795,1,1,201707,201707
4,4057198,1,1,201810,201810
4,4069463,239,59,200809,201904
4,5246652,1,1,201806,201806
4,5450616,107,17,201105,201809
4,5604613,21,9,200810,201811
4,5823234,1,1,201902,201902
4,5968607,58,12,200811,201901
4,6009492,23,9,200903,201808
4,6011063,1,1,201407,201407
4,6018599,58,16,200905,201906
4,6047904,9,8,201408,201903
4,6055117,15,5,201111,201703
4,6214266,1,1,201707,201707
4,6352782,6,3,201204,201811
4,6471188,70,20,201404,201906
4,6503829,401,54,201009,201906
4,6544290,53,8,201207,201703
4,6557961,47,7,201407,201906
4,6565271,6,4,201312,201705
4,6911927,2,2,201605,201606
4,6926967,35,10,201505,201903
4,7043260,2,1,201208,201212
4,7297017,2,2,201606,201701
4,7311745,75,44,201310,201903
4,7472935,2,1,201905,201906
4,7661568,5,4,201503,201906
4,8002266,13,2,201610,201904
4,8004714,1,1,201710,201710
4,9734872,2,2,201905,201906
6,3441,1,1,200801,200801
6,11762,4,2,200801,200803
6,21806,37,8,201006,201811
6,2043955,48,6,200810,201306
6,2044412,66,5,201102,201507
6,2051753,76,7,201004,201703
6,2054434,215,8,200808,201906
6,2068974,25,4,200801,200907
6,2071339,302,14,200801,201906
6,2076802,18,4,200801,201905
6,2078015,1420,142,200801,201007
6,2081695,17,3,200802,200811
6,2088940,188,7,200801,201906
6,2091542,2,1,200801,200802
6,2092360,4,2,201002,201609
6,2092603,101,5,200911,201906
6,2092751,8,1,200801,200809
6,2092999,318,14,200801,201904
6,2194406,113,10,200811,201511
6,2234351,5,2,201603,201904
6,2236281,2,2,200808,201801
6,2244055,17,3,201710,201906
6,2246597,242,10,200802,201906
6,2251981,1,1,201206,201206
6,2257343,19,3,201007,201906
6,2336766,102,3,200801,201609
6,2407418,1979,47,200804,201904
6,2448467,35,4,200801,201905
6,2466120,180,9,201010,201903
6,2498049,615,49,200801,201904
6,2531496,12,2,201403,201512
6,2532174,3,2,201002,201604
6,2557258,10,1,201306,201406
6,2569043,278,10,200803,201906
6,2576546,59,2,201309,201608
6,2582473,7,1,201709,201808
6,2583879,31,1,200802,201009
6,2590441,125,7,201105,201906
6,2686864,17,1,201604,201904
6,2719991,79,3,200804,201604
6,2747863,31,4,200911,201504
6,2749769,610,24,200801,201906
6,2767449,594,12,200801,201512
6,2767457,85,3,201001,201512
6,2767465,41,1,201003,201309
6,2767473,3,1,201404,201406
6,2767481,140,4,201008,201511
6,2768259,84,6,200801,201412
6,2768275,92,3,200802,201412
6,2768402,38,1,200909,201512
