"co_pcdt","sg_procedimento"
78,CLOZ25
78,OLAN10
78,OLAN5
78,QUET100
78,QUET200
78,QUET25
78,QUET300
78,RISP1
78,RISP2
78,RISP3
78,TOPI100
78,ZIPR40
78,ZIPR80
79,AZAT50
79,CICLOSP10
79,CICLOSP100
79,CICLOSP10050
79,CICLOSP25
79,CICLOSP50
79,MICO360
79,MICO500
80,ALFA2000
80,ALFA4000
80,CALC025
80,ETAN50
80,MESA400
80,SACA1005
80,SEVE800
81,ALFA4000
81,CALC025
81,INSU1003
81,SEVE800
82,LARO0585
83,IDUR23
84,ALFA3000
84,ALFA4000
84,ATOR10
84,BUDE200100
84,CALC025
84,CICLOSP25
84,CICLOSP50
84,DESM0125
84,ETAN25
84,FORM6200
84,GOSS1080
84,LEUP1125
84,SEVE800
84,SOMA12
84,SOMA4
85,ALEN10
85,ATOR10
85,ATOR20
85,BECL250200
85,BROM25
85,CALC025
85,CIPR50
85,DESM0125
85,GABA400
85,HIDR400
85,LEFL20
85,LEVO100
85,LEVO150
85,LEVO25
85,LEVO50
85,LOVA20
85,MICO360
85,OCTR20
85,PRAV10
85,PRAV20
85,RALO60
85,SELE5
85,SINV20
85,SINV40
85,TACR1
85,ZIPR80
86,ALEN10
86,ALEN70
86,ALFA4000
86,AMAN100
86,AZAT50
86,BUDE200100
86,CALC025
86,CALC200
86,CLOR150
86,DONE10
86,DONE5
86,FORM12
86,FORM12400
86,GALA16
86,GALA24
86,GALA8
86,HIDR400
86,LAMO100
86,LEVO20050
86,MESA400
86,OLAN10
86,PRAM025
86,QUET100
86,QUET200
86,RALO60
86,RISE35
86,RISP1
86,RISP2
86,RIVA15
86,RIVA18
86,RIVA20120
86,RIVA3
86,RIVA45
86,RIVA6
86,RIVA9
86,SINV20
86,TOXI500
87,ACET250
87,BIMA033
87,BRIM205
87,BRIN105
87,DORZ205
87,LATA00525
87,PILO2010
87,TIMO505
87,TRAV00425
